CameraID,Latitude,Longitude,Region
1001,1.29531332,103.871146,Central
1002,1.319541067,103.8785627,Central
1003,1.323957439,103.8728576,Central
1004,1.319535712,103.8750668,Central
1005,1.363519886,103.905394,East
1006,1.357098686,103.902042,East
1501,1.274143944,103.8513168,Central
1502,1.271350907,103.8618284,Central
1503,1.270664087,103.8569779,Central
1504,1.294098914,103.8760562,Central
1505,1.275297715,103.8663904,Central
1701,1.323604823,103.8587802,Central
1702,1.34355015,103.8601984,Central
1703,1.328147222,103.8622033,Central
1704,1.285693989,103.8375245,Central
1705,1.375925022,103.8587986,North East
1706,1.38861,103.85806,North East
1707,1.280365843,103.8304511,Central
1709,1.313842317,103.845603,Central
1711,1.35296,103.85719,Central
2701,1.447023728,103.7716543,North
2702,1.445554109,103.7683397,North
2703,1.350477908,103.7910336,Central
2704,1.429588536,103.769311,North
2705,1.36728572,103.7794698,North
2706,1.414142,103.771168,North
2707,1.3983,103.774247,North
2708,1.3865,103.7747,North
3702,1.33831,103.98032,East
3704,1.295855016,103.8803147,Central
3705,1.32743,103.97383,East
3793,1.309330837,103.9350504,East
3795,1.301451452,103.9105963,Central
3796,1.297512569,103.8983019,Central
3797,1.295657333,103.885283,Central
3798,1.29158484,103.8615987,Central
4701,1.2871,103.79633,Central
4702,1.27237,103.8324,Central
4703,1.348697862,103.6350413,West
4704,1.27877,103.82375,Central
4705,1.32618,103.73028,West
4706,1.29792,103.78205,West
4707,1.333446481,103.6527008,West
4708,1.29939,103.7799,West
4709,1.312019,103.763002,West
4710,1.32153,103.75273,West
4712,1.341244001,103.6439134,West
4713,1.347645829,103.6366955,West
4714,1.31023,103.76438,West
4716,1.32227,103.67453,West
4798,1.259999997,103.8236111,Central
4799,1.260277774,103.8238889,Central
5794,1.3309693,103.9168616,East
5795,1.326024822,103.905625,East
5797,1.322875288,103.8910793,Central
5798,1.320360781,103.8771741,Central
5799,1.328171608,103.8685191,Central
6701,1.329334,103.858222,Central
6703,1.328899,103.84121,Central
6704,1.326574036,103.8268573,Central
6705,1.332124,103.81768,Central
6706,1.349428893,103.7952799,Central
6708,1.345996,103.69016,West
6710,1.344205,103.78577,Central
6711,1.33771,103.977827,East
6712,1.332691,103.770278,Central
6713,1.340298,103.945652,East
6714,1.361742,103.703341,West
6715,1.356299,103.716071,West
6716,1.322893,103.6635051,West
7791,1.354245,103.963782,East
7793,1.37704704,103.9294698,East
7794,1.37988658,103.9200917,East
7795,1.38432741,103.915857,East
7796,1.39559294,103.9051571,North East
7797,1.40002575,103.8570253,North East
7798,1.39748842,103.8540047,North East
8701,1.38647,103.74143,North
8702,1.39059,103.7717,North
8704,1.3899,103.74843,West
8706,1.3664,103.70899,West
9701,1.39466333,103.834746,North
9702,1.39474081,103.8179709,North
9703,1.422857,103.773005,North
9704,1.42214311,103.7954206,North
9705,1.42627712,103.7871664,North
9706,1.41270056,103.8064271,North
